book_name,score,num,picturelink,publisher,publishyear,ISBN
        期货市场技术分析      ,9.1,2172,https://img1.doubanio.com/view/subject/l/public/s2141099.jpg, 地震出版社,1994,9.79E+12
        聪明的投资者      ,9,4503,https://img3.doubanio.com/view/subject/l/public/s6462582.jpg, 人民邮电出版社,2010,9.79E+12
        穷查理宝典      ,8.9,9398,https://img1.doubanio.com/view/subject/l/public/s4532008.jpg, 上海人民出版社,2010,9.79E+12
        冬牧场      ,9,13808,https://img3.doubanio.com/view/subject/l/public/s8958901.jpg, 新星出版社,2012,9.79E+12
        蓝熊船长的13条半命      ,9.4,2147,https://img3.doubanio.com/view/subject/l/public/s1081342.jpg, 人民文学出版社,2002,9.79E+12
        万物既伟大又渺小      ,9,5135,https://img1.doubanio.com/view/subject/l/public/s4245447.jpg, 中国城市出版社,2010,9.79E+12
        阿城精选集      ,9.1,5592,https://img3.doubanio.com/view/subject/l/public/s8963180.jpg, 北京燕山出版社,2011,9.79E+12
        金刚经 心经 坛经      ,9.2,2524,https://img3.doubanio.com/view/subject/l/public/s10320050.jpg, 中华书局,2007,9.79E+12
        经济学      ,9.1,1752,https://img3.doubanio.com/view/subject/l/public/s1222291.jpg, 人民邮电出版社,2004,9.79E+12
        飞鸟集      ,9.1,3672,https://img1.doubanio.com/view/subject/l/public/s1665389.jpg, 上海译文出版社,1992,9.79E+12
        顾城的诗 顾城的画      ,9.1,5285,https://img1.doubanio.com/view/subject/l/public/s4084467.jpg, 江苏文艺出版社,2009,9.79E+12
        设计中的设计 | 全本      ,9.1,7386,https://img3.doubanio.com/view/subject/l/public/s4473054.jpg, 广西师范大学出版社,2010,9.79E+12
        佛教的见地与修道      ,9,2254,https://img1.doubanio.com/view/subject/l/public/s2183228.jpg, 甘肃民族出版社,2006,9.79E+12
        上学记      ,9,2455,https://img9.doubanio.com/view/subject/l/public/s5951026.jpg, 生活·读书·新知三联书店,2008,9.79E+12
        金蔷薇      ,9,2807,https://img3.doubanio.com/view/subject/l/public/s2358972.jpg, 上海译文出版社,2007,9.79E+12
        张国荣的时光      ,9,2695,https://img3.doubanio.com/view/subject/l/public/s24485803.jpg, 上海书店出版社,2011,9.79E+12
        岁朝清供      ,9.1,3682,https://img3.doubanio.com/view/subject/l/public/s4158862.jpg, 生活·读书·新知三联书店,2010,9.79E+12
        华夏意匠      ,9.2,2180,https://img1.doubanio.com/view/subject/l/public/s1852868.jpg, 天津大学出版社,2005,9.79E+12
        万物刹那又永恒      ,9.1,2077,https://img3.doubanio.com/view/subject/l/public/s4671512.jpg, 中国城市出版社,2011,9.79E+12
        发现之旅      ,9,3888,https://img1.doubanio.com/view/subject/l/public/s7045008.jpg, 商务印书馆,2012,9.79E+12
        論語譯註      ,9.1,2405,https://img1.doubanio.com/view/subject/l/public/s1670329.jpg, 中华书局,1980,9.79E+12
        中国文化要义      ,9,2443,https://img3.doubanio.com/view/subject/l/public/s1331483.jpg, 上海人民出版社,1990,9.79E+12
        中国法律与中国社会      ,9.2,1751,https://img9.doubanio.com/view/subject/l/public/s1558956.jpg, 中华书局,2003,9.79E+12
        庄子諵譁上      ,8.9,2430,https://img3.doubanio.com/view/subject/l/public/s5768703.jpg, 上海人民出版社,2007,9.79E+12
        古代汉语第一册      ,9.2,2640,https://img1.doubanio.com/view/subject/l/public/s9258438.jpg, 中华书局,1999,9.79E+12
        返璞归真      ,9.2,2014,https://img9.doubanio.com/view/subject/l/public/s2527436.jpg, 华东师范大学出版社,2007,9.79E+12
        费马大定理      ,9,2545,https://img1.doubanio.com/view/subject/l/public/s1331728.jpg, 上海译文出版社,2005,9.79E+12
        超越时空      ,9.1,3603,https://img3.doubanio.com/view/subject/l/public/s3980835.jpg, 上海科技教育出版社,2009,9.79E+12
        古詩源      ,9.3,1746,https://img1.doubanio.com/view/subject/l/public/s6847949.jpg, 中华书局,2006,9.79E+12
        此生未完成      ,8.9,13379,https://img3.doubanio.com/view/subject/l/public/s6343233.jpg, 湖南科技出版社,2011,9.79E+12
        惶然录      ,9,4326,https://img3.doubanio.com/view/subject/l/public/s1113041.jpg, 上海文艺出版社,1995,9.79E+12
        蒋勋说红楼梦第一辑      ,8.9,5953,https://img3.doubanio.com/view/subject/l/public/s6216343.jpg, 上海三联书店,2010,9.79E+12
        大问题      ,9,3858,https://img3.doubanio.com/view/subject/l/public/s4573783.jpg, 广西师范大学出版社,2011,9.79E+12
        阿莱夫      ,9.2,1911,https://img1.doubanio.com/view/subject/l/public/s2958527.jpg, 浙江文艺出版社,2008,9.79E+12
        杀死一只反舌鸟      ,9.1,3876,https://img3.doubanio.com/view/subject/l/public/s3658863.jpg, 译林出版社,2009,9.79E+12
        故事      ,9.2,5666,https://img9.doubanio.com/view/subject/l/public/s2361866.jpg, 中国电影出版社,2001,9.79E+12
        逻辑哲学论      ,9.2,2259,https://img3.doubanio.com/view/subject/l/public/s2704503.jpg, 商务印书馆,1996,9.79E+12
        新千年文学备忘录      ,9.2,2327,https://img9.doubanio.com/view/subject/l/public/s3709316.jpg, 译林出版社,2009,9.79E+12
        白鹿原      ,9.1,6830,https://img3.doubanio.com/view/subject/l/public/s4603422.jpg, 北京十月文艺出版社,2008,9.79E+12
        博尔赫斯全集      ,9.4,2004,https://img1.doubanio.com/view/subject/l/public/s1789739.jpg, 浙江文艺出版社,1999,9.79E+12
        传奇上下      ,9.1,2795,https://img3.doubanio.com/view/subject/l/public/s2215584.jpg, 经济日报出版社,2003,9.79E+12
        人生的枷锁      ,9,16620,https://img1.doubanio.com/view/subject/l/public/s3983958.jpg, 上海译文出版社,2007,9.79E+12
        神经外科的黑色喜剧      ,9,1663,https://img1.doubanio.com/view/subject/l/public/s3063977.jpg, 湖南科学技术出版社,2006,9.79E+12
        采桑子      ,9,4081,https://img9.doubanio.com/view/subject/l/public/s3696986.jpg, 北京出版社,2009,9.79E+12
        围城      ,9,27047,https://img3.doubanio.com/view/subject/l/public/s1068075.jpg, 生活·读书·新知三联书店,2002,9.79E+12
        写在人生边上 写在人生边上的边上 石语      ,9,2112,https://img1.doubanio.com/view/subject/l/public/s1028477.jpg, 生活·读书·新知三联书店,2001,9.79E+12
        人间是剧场      ,9,2974,https://img1.doubanio.com/view/subject/l/public/s4509918.jpg, 新星出版社,2010,9.79E+12
        平如美棠      ,9,14529,https://img3.doubanio.com/view/subject/l/public/s26543835.jpg, 广西师范大学出版社,2013,9.79E+12
        悲惨世界上下      ,9.2,2894,https://img1.doubanio.com/view/subject/l/public/s1989289.jpg, 上海译文出版社,2006,9.79E+12
        学术与政治      ,9.2,2249,https://img1.doubanio.com/view/subject/l/public/s1286347.jpg, 生活·读书·新知三联书店,2005,9.79E+12
        心灵的焦灼      ,9,2851,https://img3.doubanio.com/view/subject/l/public/s2598131.jpg, 上海译文出版社,2007,9.79E+12
        论语新解      ,8.9,1914,https://img3.doubanio.com/view/subject/l/public/s1235344.jpg, 生活·读书·新知三联书店,2005,9.79E+12
        虚构集      ,9.2,2729,https://img1.doubanio.com/view/subject/l/public/s2958557.jpg, 浙江文艺出版社,2008,9.79E+12
        毛毛      ,9.1,1306,https://img3.doubanio.com/view/subject/l/public/s1556541.jpg, 二十一世纪出版社,2000,9.79E+12
        大明宫词      ,9.2,3219,https://img1.doubanio.com/view/subject/l/public/s24396128.jpg, 人民文学出版社,2000,9.79E+12
        联邦党人文集      ,9,2459,https://img3.doubanio.com/view/subject/l/public/s1437692.jpg, 商务印书馆,1980,9.79E+12
        锦灰堆      ,9.2,1268,https://img1.doubanio.com/view/subject/l/public/s1068077.jpg, 生活·读书·新知三联书店,1999,9.79E+12
        来自民间的叛逆      ,9.3,1371,https://img3.doubanio.com/view/subject/l/public/s3448990.jpg, 南京大学出版社,2008,9.79E+12
        古拉格群岛上中下      ,9.2,1747,https://img1.doubanio.com/view/subject/l/public/s1323837.jpg, 群众出版社,1996,9.79E+12
        美国宪政历程      ,9.1,4767,https://img1.doubanio.com/view/subject/l/public/s3838207.jpg, 生活·读书·新知三联书店,2009,9.79E+12
        洞穴奇案      ,9.8,1689,https://img1.doubanio.com/view/subject/l/public/s11318109.jpg, 北京少年儿童出版社,1998,9.79E+12
        深入理解计算机系统      ,9.5,2697,https://img3.doubanio.com/view/subject/l/public/s1470003.jpg, 中国电力出版社,2004,9.79E+12
        艺术的故事      ,9.5,2237,https://img3.doubanio.com/view/subject/l/public/s1740152.jpg, 生活·读书·新知三联书店,1999,9.79E+12
        冰与火之歌卷三      ,9.5,11835,https://img3.doubanio.com/view/subject/l/public/s2877433.jpg, 重庆出版社,2007,9.79E+12
        牛津高阶英汉双解词典 第六版      ,9.5,1597,https://img3.doubanio.com/view/subject/l/public/s1218761.jpg, 商务印书馆 牛津大学出版社,2004,9.79E+12
        费恩曼物理学讲义第1卷      ,9.5,1640,https://img1.doubanio.com/view/subject/l/public/s1475298.jpg, 上海科学技术出版社,2005,9.79E+12
        滚蛋吧!肿瘤君      ,9.2,14792,https://img9.doubanio.com/view/subject/l/public/s20742806.jpg, 北京理工大学出版社,2012,9.79E+12
        红楼梦      ,9.6,230978,https://img1.doubanio.com/view/subject/l/public/s1070959.jpg, 人民文学出版社,1996,9.79E+12
        塔希里亚故事集      ,9.4,4038,https://img1.doubanio.com/view/subject/l/public/s4433958.jpg, 接力出版社,2007,9.79E+12
        百年孤独      ,9.2,237301,https://img3.doubanio.com/view/subject/l/public/s6384944.jpg, 南海出版公司,2011,9.79E+12
        算法导论原书第2版      ,9.3,4902,https://img1.doubanio.com/view/subject/l/public/s1959967.jpg, 机械工业出版社,2006,9.79E+12
        哥德尔、艾舍尔、巴赫      ,9.4,5821,https://img1.doubanio.com/view/subject/l/public/s1789059.jpg, 商务印书馆,1997,9.79E+12
        文学回忆录全2册      ,9.2,28582,https://img1.doubanio.com/view/subject/l/public/s24611679.jpg, 广西师范大学出版社,2013,9.79E+12
        史记全十册      ,9.5,14476,https://img3.doubanio.com/view/subject/l/public/s1953384.jpg, 中华书局,1982,9.79E+12
        道德经精义      ,9.4,12074,https://img3.doubanio.com/view/subject/l/public/s1045431.jpg, 陕西人民出版社,1996,9.79E+12
        三体Ⅲ      ,9.2,188101,https://img3.doubanio.com/view/subject/l/public/s26012674.jpg, 重庆出版社,2010,9.79E+12
        看见      ,8.8,232160,https://img3.doubanio.com/view/subject/l/public/s24468373.jpg, 广西师范大学出版社,2013,9.79E+12
        冰与火之歌卷二      ,9.4,13784,https://img3.doubanio.com/view/subject/l/public/s1482630.jpg, 重庆出版社,2006,9.79E+12
        鲁迅全集2005最新修订版      ,9.5,4082,https://img3.doubanio.com/view/subject/l/public/s1513604.jpg, 人民文学出版社,2005,9.79E+12
        塔希里亚故事集Ⅱ      ,9.4,1548,https://img3.doubanio.com/view/subject/l/public/s26829385.jpg, 接力出版社,2008,9.79E+12
        浪潮之巅      ,9.1,23454,https://img3.doubanio.com/view/subject/l/public/s6807265.jpg, 电子工业出版社,2011,9.79E+12
        诗经      ,9.4,13038,https://img3.doubanio.com/view/subject/l/public/s1979223.jpg, 北京出版社,2006,9.79E+12
        第二基地      ,9.3,6444,https://img1.doubanio.com/view/subject/l/public/s1328658.jpg, 天地出版社,2005,9.79E+12
        中国少年儿童百科全书全四册      ,9.4,5504,https://img3.doubanio.com/view/subject/l/public/s1493864.jpg, 香港中文大學出版社,2002,9.79E+12
        中國近代史上冊      ,9.3,2695,https://img3.doubanio.com/view/subject/l/public/s29322975.jpg, 广西民族出版社,2000,9.79E+12
        資治通鑑全二十冊      ,9.4,3631,https://img3.doubanio.com/view/subject/l/public/s1760022.jpg, 中華書局,1956,9.79E+12
