book_name,score,num,picturelink,publisher,publishyear,ISBN,rank
"
        昨日的世界
      ",9.2,8290,https://img1.doubanio.com/view/subject/l/public/s1121598.jpg, 广西师范大学出版社,2004 ,9787563345809 ,6598 
"
        唐诗鉴赏辞典
      ",9.2,3898,https://img9.doubanio.com/view/subject/l/public/s1015106.jpg, 上海辞书出版社,1999 ,9787532600755 ,6423 
"
        博尔赫斯小说集
      ",9.2,8654,https://img3.doubanio.com/view/subject/l/public/s1466762.jpg, 浙江文艺出版社,2005 ,9787533922313 ,6331 
"
        海的女儿
      ",9.1,10131,https://img9.doubanio.com/view/subject/l/public/s4133656.jpg, 上海译文出版社,1978 ,9787533922314 ,6048 
"
        福尔摩斯探案全集上中下
      ",9,2718,https://img3.doubanio.com/view/subject/l/public/s3492980.jpg, 上海人民出版社,2008 ,9787208078642 ,6032 
"
        追忆似水年华上下册
      ",9.1,2633,https://img3.doubanio.com/view/subject/l/public/s1989055.jpg, 译林出版社,2001 ,9787805673202 ,5928 
"
        忧郁的热带
      ",9.1,2892,https://img3.doubanio.com/view/subject/l/public/s1817185.jpg, 生活·读书·新知三联书店,2005 ,9787108020987 ,5813 
"
        中国历代政治得失
      ",9.2,34932,https://img1.doubanio.com/view/subject/l/public/s1067497.jpg, 生活·读书·新知三联书店,2001 ,9787108015280 ,5574 
"
        爱心树
      ",9.1,3544,https://img3.doubanio.com/view/subject/l/public/s1112624.jpg, 南海出版公司,2003 ,9787544225151 ,5297 
"
        活着
      ",9.1,84584,https://img3.doubanio.com/view/subject/l/public/s1469173.jpg, 上海文艺出版社,2004 ,9787532125944 ,5257 
"
        好妈妈胜过好老师
      ",9,8557,https://img1.doubanio.com/view/subject/l/public/s3615018.jpg, 作家出版社,2009 ,9787506345040 ,5220 
"
        父与子全集
      ",9.2,32886,https://img1.doubanio.com/view/subject/l/public/s1094608.jpg, 中国工人出版社,2003 ,9787500830146 ,4886 
"
        动物农场
      ",9.2,68474,https://img3.doubanio.com/view/subject/l/public/s2347590.jpg, 上海译文出版社,2007 ,9787532741854 ,4345 
"
        沉默的大多数
      ",9.1,80402,https://img1.doubanio.com/view/subject/l/public/s1447349.jpg, 中国青年出版社,1997 ,9787500627098 ,4300 
"
        阿狸·梦之城堡
      ",9,31327,https://img3.doubanio.com/view/subject/l/public/s3721175.jpg, 上海锦绣文章出版社,2009 ,9787545202267 ,4180 
"
        小王子
      ",9,469012,https://img3.doubanio.com/view/subject/l/public/s1103152.jpg, 人民文学出版社,2003 ,9787020042494 ,4150 
"
        白夜行
      ",9.1,406399,https://img3.doubanio.com/view/subject/l/public/s4610502.jpg, 南海出版公司,2008 ,9787544242516 ,3956 
"
        东方快车谋杀案
      ",9,77700,https://img1.doubanio.com/view/subject/l/public/s1765799.jpg, 人民文学出版社,2006 ,9787020056309 ,3925 
